Number	Constituency	2016	2011	2006	2001	1996	1991	1989	1984	1980
										
1	Gummidipoondi	AIADMK	DMDK(AIADMK)	AIADMK	DMK	DMK	AIADMK	DMK	AIADMK	AIADMK
2	Ponneri	AIADMK	AIADMK	AIADMK	CPI(AIADMK)	DMK	AIADMK	DMK	AIADMK	AIADMK
3	Tiruttani	AIADMK	DMDK(AIADMK)	AIADMK	PMK(AIADMK)	DMK	AIADMK	DMK	AIADMK	AIADMK
4	Thiruvallur	DMK	AIADMK							
5	Poonmallae	AIADMK	AIADMK	INC(DMK)	PMK(AIADMK)	TMC(DMK)	INC (AIADMK)	DMK	INC (AIADMK)	DMK
6	Avadi	AIADMK	AIADMK							
7	Maduravoyal	AIADMK	CPM(AIADMK)							
8	Ambattur	AIADMK	AIADMK							
9	Madavaram	DMK	AIADMK							
10	Thiruvottiyur	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	DMK	INC (AIADMK)	GKC (AIADMK)
11	Dr.Radhakrishnan Nagar	AIADMK	AIADMK	AIADMK	AIADMK	DMK	AIADMK	DMK	INC (AIADMK)	INC (AIADMK)
12	Perambur	AIADMK	CPM(AIADMK)	CPI(M)(DMK)	CPM(AIADMK)	DMK	AIADMK	DMK	DMK	DMK
13	Kolathur	DMK	DMK	AIADMK	AIADMK	DMK	AIADMK	ADK(JL)	AIADMK	AIADMK
14	Villivakkam	DMK	AIADMK	DMK	DMK	TMC(DMK)	INC (AIADMK)	CPM (DMK)	CPM (DMK)	AIADMK
15	Thiru-Vi-Ka-Nagar	DMK	AIADMK							
16	Egmore	DMK	DMDK(AIADMK)	DMK	DMK	DMK	DMK	DMK	DMK	INC (AIADMK)
17	Royapuram	AIADMK	AIADMK	AIADMK	AIADMK	DMK	AIADMK	DMK	DMK	DMK
18	harbour	DMK	AIADMK	DMK	DMK	DMK	DMK	DMK	DMK	DMK
19	Chepauk-Thiruvallikeni	DMK	DMK	DMK	DMK	DMK	INC (AIADMK)	DMK	DMK	DMK
20	Thousand Lights	DMK	AIADMK	DMK	DMK	DMK	AIADMK	DMK	AIADMK	AIADMK
21	Anna Nagar	DMK	AIADMK	DMK	DMK	DMK	INC (AIADMK)	DMK	DMK	DMK
22	Virugampakkam	AIADMK	DMDK(AIADMK)							
23	Saidapet	DMK	AIADMK	AIADMK	DMK	DMK	AIADMK	DMK	AIADMK	DMK
24	Thiyagarayanagar	AIADMK	AIADMK	AIADMK	DMK	TMC(DMK)	AIADMK	DMK	INC (AIADMK)	GKC (AIADMK)
25	Mylapore	AIADMK	AIADMK	AIADMK	BJP(DMK)	DMK	AIADMK	DMK	AIADMK	AIADMK
26	Velachery	DMK	AIADMK							
27	Shozhinganallur	DMK	AIADMK							
28	Alandur	DMK	DMDK(AIADMK)	DMK	AIADMK	DMK	AIADMK	DMK	DMK	AIADMK
29	Sriperumbudur	AIADMK	AIADMK	INC(DMK)	INC(AIADMK)	DMK	INC (AIADMK)	DMK	INC (AIADMK)	INC (AIADMK)
30	Pallavaram	DMK	AIADMK							
31	Tambaram	DMK	AIADMK	DMK	DMK	DMK	INC (AIADMK)	DMK	AIADMK	DMK
32	Chengalpattu	DMK	DMDK(AIADMK)	PMK(DMK)	PMK(AIADMK)	DMK	AIADMK	DMK	AIADMK	AIADMK
33	Thiruporur	AIADMK	AIADMK							
34	Cheyyur	DMK	AIADMK							
35	Madurantakam	DMK	AIADMK	INC(DMK)	AIADMK	DMK	AIADMK	ADK(JL)	DMK	AIADMK
36	Uthiramerur	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	AIADMK
37	Kancheepuram	DMK	AIADMK	PMK(DMK)	AIADMK	DMK	AIADMK	DMK	AIADMK	AIADMK
38	Arakkonam	AIADMK	AIADMK	DMK	AIADMK	DMK	INC (AIADMK)	DMK	DMK	AIADMK
39	Sholingur	AIADMK	DMDK(AIADMK)	INC(DMK)	AIADMK	TMC(DMK)	INC (AIADMK)	INC	AIADMK	AIADMK
40	Katpadi	DMK	DMK	DMK	DMK	DMK	AIADMK	DMK	AIADMK	CPI (AIADMK)
41	Ranipet	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	IND	INC (AIADMK)	DMK
42	Arcot	DMK	AIADMK	PMK(DMK)	AIADMK	DMK	AIADMK	DMK	AIADMK	AIADMK
43	Vellore	DMK	AIADMK	INC(DMK)	TMC(AIADMK)	TMC(DMK)	INC (AIADMK)	DMK	DMK	DMK
44	Anaikattu	DMK	PMK(DMK)	AIADMK	AIADMK	DMK	AIADMK	DMK	AIADMK	AIADMK
45	Kilvaithinankuppam	AIADMK	AIADMK							
46	Gudiyattam	AIADMK	CPI(AIADMK)	CPI(M)(DMK)	AIADMK	DMK	INC (AIADMK)	CPM (DMK)	INC (AIADMK)	CPM (AIADMK)
47	Vaniyambadi	AIADMK	AIADMK	DMK	IND	DMK	INC (AIADMK)	DMK	INC (AIADMK)	AIADMK
48	Ambur	AIADMK	MAMAK(AIADMK)							
49	Jolarpet	AIADMK	AIADMK							
50	Tirupattur	DMK	AIADMK	PMK(DMK)	PMK(AIADMK)	DMK	AIADMK	DMK	INC (AIADMK)	DMK
51	Uthangarai	AIADMK	AIADMK							
52	Bargur	AIADMK	AIADMK	AIADMK	AIADMK	DMK	AIADMK	ADK(JL)	AIADMK	AIADMK
53	Krishnagiri	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	AIADMK
54	Veppanahalli	DMK	DMK							
55	Hosur	AIADMK	INC(DMK)	INC(DMK)	INC(AIADMK)	JD(MDMK)	INC (AIADMK)	INC	INC (AIADMK)	INC (AIADMK)
56	Thalli	DMK	CPI(AIADMK)	IND	BJP(DMK)	CPI(DMK)	INC (AIADMK)	JNP (DMK)	INC (AIADMK)	INC (AIADMK)
57	Palacodu	AIADMK	AIADMK	AIADMK	AIADMK	DMK	AIADMK	ADK(JL)	INC (AIADMK)	AIADMK
58	Pennagaram	DMK	CPI(AIADMK)	DMK	PMK(AIADMK)	PMK	AIADMK	IND	AIADMK	GKC (AIADMK)
59	Dharmapuri	DMK	DMDK(AIADMK)	PMK(DMK)	PMK(AIADMK)	DMK	INC (AIADMK)	DMK	DMK	AIADMK
60	Pappireddippatti	AIADMK	AIADMK							
61	Harur	AIADMK	CPM(AIADMK)	CPI(M)(DMK)	CPI(AIADMK)	DMK	INC (AIADMK)	CPM (DMK)	AIADMK	AIADMK
62	Chengam	DMK	DMDK(AIADMK)	INC(DMK)	INC(AIADMK)	DMK	AIADMK	JNP (DMK)	AIADMK	AIADMK
63	Tiruvannamalai	DMK	DMK	DMK	DMK	DMK	INC (AIADMK)	DMK	INC (AIADMK)	INC (AIADMK)
64	Kilpennathur	DMK	AIADMK							
65	Kalasapakkam	AIADMK	AIADMK	AIADMK	AIADMK	DMK	INC (AIADMK)	DMK	AIADMK	DMK
66	Polur	DMK	AIADMK	INC(DMK)	AIADMK	DMK	AIADMK	DMK	INC (AIADMK)	INC (AIADMK)
67	Arani	AIADMK	DMDK(AIADMK)	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	AIADMK
68	Cheyyar	AIADMK	AIADMK	INC(DMK)	PMK(AIADMK)	DMK	AIADMK	DMK	AIADMK	DMK
69	Vandavasi	DMK	AIADMK	DMK	PMK(AIADMK)	DMK	AIADMK	DMK	INC (AIADMK)	AIADMK
70	Gingee	DMK	PMK(DMK)	DMK	AIADMK	DMK	INC (AIADMK)	DMK	INC (AIADMK)	DMK
71	Mailam	DMK	AIADMK							
72	Tindivanam	DMK	AIADMK	AIADMK	AIADMK	DMK	AIADMK	DMK	INC (AIADMK)	INC (AIADMK)
73	Vanur	AIADMK	AIADMK	AIADMK	AIADMK	DMK	AIADMK	DMK	AIADMK	DMK
74	Villupuram	AIADMK	AIADMK	DMK	DMK	DMK	AIADMK	DMK	AIADMK	DMK
75	Vikravandi	DMK	CPM(AIADMK)							
76	Tirukkoyilur	DMK	DMDK(AIADMK)							
77	Ulundurpettai	AIADMK	AIADMK	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	DMK
78	Rishivandiyam	DMK	DMDK(AIADMK)	INC(DMK)	TMC(AIADMK)	TMC(DMK)	AIADMK	DMK	INC (AIADMK)	INC (AIADMK)
79	Sankarapuram	DMK	AIADMK	DMK	PMK(AIADMK)	DMK	AIADMK	DMK	AIADMK	AIADMK
80	Kallakurichi	AIADMK	AIADMK							
81	Gangavalli	AIADMK	DMDK(AIADMK)							
82	Attur	AIADMK	AIADMK	INC(DMK)	AIADMK	DMK	AIADMK	DMK	INC (AIADMK)	INC (AIADMK)
83	Yercaud	AIADMK	AIADMK	DMK	AIADMK	DMK	AIADMK	ADK(JL)	INC (AIADMK)	AIADMK
84	Omalur	AIADMK	AIADMK	PMK(DMK)	AIADMK	TMC(DMK)	AIADMK	ADK(JL)	INC (AIADMK)	AIADMK
85	Mettur	AIADMK	DMDK(AIADMK)	PMK(DMK)	AIADMK	DMK	AIADMK	CPM (DMK)	AIADMK	AIADMK
86	Edappadi	AIADMK	AIADMK	PMK(DMK)	AIADMK	PMK	AIADMK	ADK(JL)	INC (AIADMK)	AIADMK
87	Sankari	AIADMK	AIADMK	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	AIADMK
88	Salem (West)	AIADMK	AIADMK							
89	Salem (North)	DMK	DMDK(AIADMK)							
90	Salem (South)	AIADMK	AIADMK							
91	Veerapandi	AIADMK	AIADMK	DMK	AIADMK	DMK	AIADMK	DMK	AIADMK	AIADMK
92	Rasipuram	AIADMK	AIADMK	DMK	AIADMK	AIADMK	AIADMK	DMK	AIADMK	AIADMK
