Consti#	Constituency	Margin
1	Gummidipoondi	23395
2	Ponneri	19336
3	Tiruttani	23141
4	Thiruvallur	5138
5	Poonamallee	11763
6	Avadi	1395
7	Maduravoyal	8402
8	Ambattur	17498
9	Madavaram	15253
10	Thiruvottiyur	4863
11	Dr.Radhakrishnan Nagar	39545
12	Perambur	519
13	Kolathur	37730
14	Villivakkam	9321
15	Thiru-Vi-Ka-Nagar	3322
16	Egmore	10679
17	Royapuram	8031
18	Harbour	4836
19	Chepauk-Thiruvallikeni	14164
20	Thousand Lights	8829
21	Anna Nagar	1687
22	Virugampakkam	2333
23	Saidapet	16255
24	Thiyagarayanagar	3155
25	Mylapore	14728
26	Velachery	8872
27	Shozhinganallur	14913
28	Alandur	19169
29	Sriperumbudur	10716
30	Pallavaram	22165
31	Tambaram	14445
32	Chengalpattu	26292
33	Thiruporur	950
34	Cheyyur	304
35	Madurantakam	2957
36	Uthiramerur	12156
37	Kancheepuram	7548
38	Arakkonam	4161
39	Sholingur	9732
40	Katpadi	23946
41	Ranipet	7896
42	Arcot	11091
43	Vellore	26210
44	Anaikattu	8768
45	Kilvaithinankuppam	9746
46	Gudiyattam	11470
47	Vaniyambadi	14526
48	Ambur	28006
49	Jolarpet	10991
50	Tirupattur	7647
51	Uthangarai	2613
52	Bargur	982
53	Krishnagiri	4891
54	Veppanahalli	5228
55	Hosur	22964
56	Thalli	6245
57	Palacode	5983
58	Pennagaram	18446
59	Dharmapuri	9676
60	Pappireddippatti	12713
61	Harur	11421
62	Chengam	12691
63	Tiruvannamalai	50348
64	Kilpennathur	34666
65	Kalasapakkam	26414
66	Polur	8273
67	Arani	7327
68	Cheyyar	8527
69	Vandavasi	18068
70	Gingee	22057
71	Mailam	12306
72	Tindivanam	101
73	Vanur	10223
74	Villupuram	22291
75	Vikravandi	6912
76	Tirukkoyilur	41057
77	Ulundurpettai	4164
78	Rishivandiyam	20503
79	Sankarapuram	14528
80	Kallakurichi	4104
81	Gangavalli	2262
82	Attur	17334
83	Yercaud	17394
84	Omalur	19956
85	Mettur	6282
86	Edappadi	42022
87	Sankari	37374
88	Salem (West)	7247
89	Salem (North)	9873
90	Salem (South)	30453
91	Veerapandi	14481
92	Rasipuram	9631
93	Senthamangalam	12333
