CONUM,CONAME,MARGIN,NOTA,LOG(MAR),LOG(NOTA),PMK,LOG(PMK),3F,LOG(3F),WINPARTY,TYPE1,TYPE2,TYPE3,RECTPOS
1,Radhapuram,49,1821,1.69,3.26,501,2.7,8362,3.92,AIADMK,NOTA,PMK,ThirdFront,53
4,Kattumannarkoil(SC),87,1025,1.94,3.01,25890,4.41,48363,4.68,AIADMK,NOTA,PMK,ThirdFront,68
7,Tindivanam,101,2112,2,3.32,29848,4.47,14928,4.17,DMK,NOTA,PMK,ThirdFront,83
10,Cheyyur,304,1827,2.48,3.26,17892,4.25,17927,4.25,DMK,NOTA,PMK,ThirdFront,98
13,Kovilpatti,428,2350,2.63,3.37,1075,3.03,28512,4.46,AIADMK,NOTA,PMK,ThirdFront,113
16,Karur,441,3595,2.64,3.56,1376,3.14,6491,3.81,AIADMK,NOTA,PMK,ThirdFront,128
19,Tenkasi,462,3391,2.66,3.53,1222,3.09,7324,3.86,AIADMK,NOTA,PMK,ThirdFront,143
22,Ottapidaram,493,2612,2.69,3.42,1066,3.03,14127,4.15,AIADMK,NOTA,PMK,ThirdFront,158
25,Perambur,519,3167,2.72,3.5,3685,3.57,10281,4.01,AIADMK,NOTA,PMK,ThirdFront,173
28,Thiruvidaimarudur,532,1899,2.73,3.28,13709,4.14,10622,4.03,DMK,NOTA,PMK,ThirdFront,188
31,Tirunelveli,601,2218,2.78,3.35,1884,3.28,8640,3.94,DMK,NOTA,PMK,ThirdFront,203
34,Thirumayam,766,2114,2.88,3.33,950,2.98,5096,3.71,DMK,NOTA,PMK,ThirdFront,218
37,Paramathi-Velur,818,1658,2.91,3.22,3740,3.57,6014,3.78,DMK,NOTA,PMK,ThirdFront,233
40,Thiruporur,950,2116,2.98,3.33,28125,4.45,25539,4.41,AIADMK,NOTA,PMK,ThirdFront,248
43,Bargur,982,1382,2.99,3.14,18407,4.26,2948,3.47,AIADMK,NOTA,PMK,ThirdFront,263
46,Peravurani,995,1294,3,3.11,421,2.62,5816,3.76,AIADMK,NOTA,PMK,ThirdFront,278
49,Kadayanallur,1194,1969,3.08,3.29,1350,3.13,15858,4.2,IUML,NOTA,PMK,ThirdFront,293
52,Kinathukadavu,1332,3884,3.12,3.59,1265,3.1,8387,3.92,AIADMK,NOTA,PMK,ThirdFront,308
55,Avadi,1395,4994,3.14,3.7,12428,4.09,22848,4.36,AIADMK,NOTA,PMK,ThirdFront,323
58,Chidambaram,1506,1714,3.18,3.23,24226,4.38,23314,4.37,AIADMK,NOTA,PMK,ThirdFront,338
61,Madathukulam,1667,2147,3.22,3.33,2443,3.39,6208,3.79,DMK,NOTA,PMK,ThirdFront,353
64,Anna Nagar,1687,4048,3.23,3.61,5619,3.75,6491,3.81,DMK,NOTA,PMK,ThirdFront,368
67,Ariyalur,2043,1896,3.31,3.28,13529,4.13,13599,4.13,AIADMK,NOTA,PMK,ThirdFront,383
70,Pudukkottai,2084,1637,3.32,3.21,667,2.82,7810,3.89,DMK,NOTA,PMK,ThirdFront,398
73,Natham,2110,1844,3.32,3.27,1155,3.06,9373,3.97,DMK,NOTA,PMK,ThirdFront,413
76,Tittagudi (SC),2212,1957,3.34,3.29,11438,4.06,14657,4.17,DMK,NOTA,PMK,ThirdFront,428
79,Modakkurichi,2222,2715,3.35,3.43,2809,3.45,4853,3.69,AIADMK,NOTA,PMK,ThirdFront,443
82,Gangavalli,2262,1766,3.35,3.25,10715,4.03,7114,3.85,AIADMK,NOTA,PMK,ThirdFront,458
85,Aranthangi,2291,775,3.36,2.89,626,2.8,6341,3.8,AIADMK,NOTA,PMK,ThirdFront,473
88,Virugampakkam,2333,3897,3.37,3.59,3945,3.6,9730,3.99,AIADMK,NOTA,PMK,ThirdFront,488
91,Uthangarai,2613,1717,3.42,3.23,23500,4.37,12669,4.1,AIADMK,NOTA,PMK,ThirdFront,503
94,Virudhunagar,2870,2835,3.46,3.45,556,2.75,10127,4.01,DMK,NOTA,PMK,ThirdFront,518
97,Madurantakam,2957,1525,3.47,3.18,16215,4.21,11773,4.07,DMK,NOTA,PMK,ThirdFront,533
100,Gandharvakottai,3047,1556,3.48,3.19,530,2.72,13918,4.14,AIADMK,NOTA,PMK,ThirdFront,548
103,Panruti,3128,1988,3.5,3.3,18666,4.27,18409,4.27,AIADMK,NOTA,PMK,ThirdFront,563
106,Thiyagarayanagar,3155,3570,3.5,3.55,5071,3.71,6210,3.79,AIADMK,NOTA,PMK,ThirdFront,578
109,Thiru-Vi-Ka-Nagar,3322,2685,3.52,3.43,2056,3.31,5702,3.76,DMK,NOTA,PMK,ThirdFront,593
112,Tiruchengodu,3390,2279,3.53,3.36,2012,3.3,6688,3.83,AIADMK,NOTA,PMK,ThirdFront,608
115,Srivaikuntam,3531,1457,3.55,3.16,806,2.91,6203,3.79,AIADMK,NOTA,PMK,ThirdFront,623
118,Orathanadu,3645,1882,3.56,3.27,1444,3.16,6351,3.8,DMK,NOTA,PMK,ThirdFront,638
121,Coonoor,3710,2283,3.57,3.36,469,2.67,3989,3.6,AIADMK,NOTA,PMK,ThirdFront,653
124,Lalgudi,3837,1953,3.58,3.29,745,2.87,6784,3.83,DMK,NOTA,PMK,ThirdFront,668
127,Kallakurichi,4104,3008,3.61,3.48,9736,3.99,17492,4.24,AIADMK,NOTA,PMK,ThirdFront,683
130,Arakkonam,4161,2049,3.62,3.31,20130,4.3,5213,3.72,AIADMK,NOTA,PMK,ThirdFront,698
133,Ulundurpettai,4164,829,3.62,2.92,20233,4.31,34447,4.54,AIADMK,NOTA,PMK,ThirdFront,713
136,Sattur,4427,1455,3.65,3.16,768,2.89,25442,4.41,AIADMK,NOTA,PMK,ThirdFront,728
139,Alangulam,4754,2089,3.68,3.32,674,2.83,7784,3.89,DMK,NOTA,PMK,ThirdFront,743
142,Mayiladuthurai,4778,1688,3.68,3.23,13115,4.12,12294,4.09,AIADMK,NOTA,PMK,ThirdFront,758
145,Rajapalayam,4802,2290,3.68,3.36,1073,3.03,12505,4.1,DMK,NOTA,PMK,ThirdFront,773
148,Harbour,4836,2101,3.68,3.32,1011,3,1970,3.29,DMK,NOTA,PMK,ThirdFront,788
151,Thiruvottiyur,4863,2917,3.69,3.46,4025,3.6,13463,4.13,DMK,NOTA,PMK,ThirdFront,803
154,Krishnagiri,4891,1855,3.69,3.27,15736,4.2,4199,3.62,DMK,NOTA,PMK,ThirdFront,818
157,Erode (West),4906,3403,3.69,3.53,3000,3.48,6624,3.82,AIADMK,NOTA,PMK,ThirdFront,833
160,Thiruvallur,5138,1418,3.71,3.15,31935,4.5,7006,3.85,DMK,NOTA,PMK,ThirdFront,848
163,Singanallur,5180,3732,3.71,3.57,2865,3.46,11035,4.04,DMK,NOTA,PMK,ThirdFront,863
166,Veppanahalli,5228,1482,3.72,3.17,5476,3.74,4656,3.67,DMK,NOTA,PMK,ThirdFront,878
169,Anthiyur,5312,1546,3.73,3.19,11570,4.06,5828,3.77,AIADMK,NOTA,PMK,ThirdFront,893
172,Bhuvanagiri,5488,1132,3.74,3.05,33681,4.53,33662,4.53,DMK,NOTA,PMK,ThirdFront,908
175,Udumalaipettai,5687,3306,3.75,3.52,1975,3.3,7090,3.85,AIADMK,NOTA,PMK,ThirdFront,923
178,Madurai Central,5762,2683,3.76,3.43,1007,3,11235,4.05,DMK,NOTA,PMK,ThirdFront,938
181,Kanniyakumari,5912,1570,3.77,3.2,712,2.85,6914,3.84,DMK,NOTA,PMK,ThirdFront,953
184,Palacode,5983,1880,3.78,3.27,31612,4.5,4915,3.69,AIADMK,NOTA,PMK,ThirdFront,968
187,Thalli,6245,2450,3.8,3.39,5253,3.72,68184,4.83,DMK,NOTA,PMK,ThirdFront,983
190,Mettur,6282,1829,3.8,3.26,49939,4.7,5892,3.77,AIADMK,NOTA,PMK,ThirdFront,998
193,Sivaganga,6636,1530,3.82,3.18,1284,3.11,15114,4.18,AIADMK,NOTA,PMK,ThirdFront,1013
196,Perambalur,6853,3040,3.84,3.48,4222,3.63,11482,4.06,AIADMK,NOTA,PMK,ThirdFront,1028
199,Vikravandi,6912,1385,3.84,3.14,41428,4.62,9981,4,DMK,NOTA,PMK,ThirdFront,1043
202,Salem (West),7247,3107,3.86,3.49,29982,4.48,8962,3.95,AIADMK,NOTA,PMK,ThirdFront,1058
205,Arani,7327,1749,3.86,3.24,12877,4.11,7025,3.85,AIADMK,NOTA,PMK,ThirdFront,1073
208,Manachanallur,7522,2274,3.88,3.36,1212,3.08,8193,3.91,AIADMK,NOTA,PMK,ThirdFront,1088
211,Kancheepuram,7548,3645,3.88,3.56,30102,4.48,8986,3.95,DMK,NOTA,PMK,ThirdFront,1103
214,Tirupattur,7647,1193,3.88,3.08,12227,4.09,3968,3.6,DMK,NOTA,PMK,ThirdFront,1118
217,Coimbatore (North),7724,4574,3.89,3.66,2196,3.34,12153,4.08,AIADMK,NOTA,PMK,ThirdFront,1133
220,Erode (East),7794,3096,3.89,3.49,2111,3.32,6776,3.83,AIADMK,NOTA,PMK,ThirdFront,1148
223,Ranipet,7896,2121,3.9,3.33,23850,4.38,5906,3.77,DMK,NOTA,PMK,ThirdFront,1163
226,Kavundampalayam,8025,5274,3.9,3.72,2533,3.4,16874,4.23,AIADMK,NOTA,PMK,ThirdFront,1178
229,Royapuram,8031,2348,3.9,3.37,2126,3.33,3191,3.5,AIADMK,NOTA,PMK,ThirdFront,1193
232,Valparai,8244,2206,3.92,3.34,580,2.76,3494,3.54,AIADMK,NOTA,PMK,ThirdFront,1208
235,Polur,8273,1230,3.92,3.09,17184,4.24,5000,3.7,DMK,NOTA,PMK,ThirdFront,1223
238,Maduravoyal,8402,6655,3.92,3.82,17328,4.24,19612,4.29,AIADMK,NOTA,PMK,ThirdFront,1238
241,Viralimalai,8447,974,3.93,2.99,415,2.62,2979,3.47,AIADMK,NOTA,PMK,ThirdFront,1253
244,Kumbakonam,8457,2593,3.93,3.41,8048,3.91,8098,3.91,DMK,NOTA,PMK,ThirdFront,1268
247,Cheyyar,8527,2248,3.93,3.35,37491,4.57,10855,4.04,AIADMK,NOTA,PMK,ThirdFront,1283
250,Tiruvadanai,8696,939,3.94,2.97,522,2.72,4913,3.69,AIADMK,NOTA,PMK,ThirdFront,1298
253,Anaikattu,8768,1237,3.94,3.09,24711,4.39,2633,3.42,DMK,NOTA,PMK,ThirdFront,1313
256,Thousand Lights,8829,3633,3.95,3.56,3968,3.6,7805,3.89,DMK,NOTA,PMK,ThirdFront,1328
259,Velachery,8872,4225,3.95,3.63,6809,3.83,9654,3.98,DMK,NOTA,PMK,ThirdFront,1343
262,Sirkazhi,9003,1360,3.95,3.13,14890,4.17,12060,4.08,AIADMK,NOTA,PMK,ThirdFront,1358
265,Villivakkam,9321,3409,3.97,3.53,4193,3.62,8234,3.92,DMK,NOTA,PMK,ThirdFront,1373
268,Rasipuram,9631,2795,3.98,3.45,6952,3.84,4341,3.64,AIADMK,NOTA,PMK,ThirdFront,1388
271,Dharmapuri,9676,2251,3.99,3.35,56727,4.75,9348,3.97,DMK,NOTA,PMK,ThirdFront,1403
