CONUM,CONAME,MARGIN,NOTA,LOG(MAR),LOG(NOTA),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX
1,Shozhinganallur,14913,7332,4.17,3.87,DMK,Margin,Nota,53,0
2,Maduravoyal,8402,6655,3.92,3.82,AIADMK,Margin,Nota,58,2
3,Pallavaram,22165,5823,4.35,3.77,DMK,Margin,Nota,63,4
4,Ambattur,17498,5603,4.24,3.75,AIADMK,Margin,Nota,68,6
5,Kavundampalayam,8025,5274,3.9,3.72,AIADMK,Margin,Nota,73,8
6,Tambaram,14445,5007,4.16,3.7,DMK,Margin,Nota,78,10
7,Avadi,1395,4994,3.14,3.7,AIADMK,Margin,Nota,83,12
8,Krishnarayapuram,35301,4742,4.55,3.68,AIADMK,Margin,Nota,88,14
9,Alandur,19169,4727,4.28,3.67,DMK,Margin,Nota,93,16
10,Coimbatore (North),7724,4574,3.89,3.66,AIADMK,Margin,Nota,98,18
11,Tiruchirappalli (East),21894,4329,4.34,3.64,AIADMK,Margin,Nota,103,20
12,Madavaram,15253,4291,4.18,3.63,DMK,Margin,Nota,108,22
13,Velachery,8872,4225,3.95,3.63,DMK,Margin,Nota,113,24
14,Salem (South),30453,4121,4.48,3.62,AIADMK,Margin,Nota,118,26
15,Srirangam,14409,4110,4.16,3.61,AIADMK,Margin,Nota,123,28
16,Tiruchirappalli (West),28415,4100,4.45,3.61,DMK,Margin,Nota,128,30
17,Anna Nagar,1687,4048,3.23,3.61,DMK,Margin,Nota,133,32
18,Salem (North),9873,4009,3.99,3.6,DMK,Margin,Nota,138,34
19,Palladam,32174,3904,4.51,3.59,AIADMK,Margin,Nota,143,36
20,Virugampakkam,2333,3897,3.37,3.59,AIADMK,Margin,Nota,148,38
21,Kinathukadavu,1332,3884,3.12,3.59,AIADMK,Margin,Nota,153,40
22,Namakkal,13534,3828,4.13,3.58,AIADMK,Margin,Nota,158,42
23,Mylapore,14728,3788,4.17,3.58,AIADMK,Margin,Nota,163,44
24,Singanallur,5180,3732,3.71,3.57,DMK,Margin,Nota,168,46
25,Sulur,36631,3679,4.56,3.57,AIADMK,Margin,Nota,173,48
26,Kancheepuram,7548,3645,3.88,3.56,DMK,Margin,Nota,178,50
27,Thousand Lights,8829,3633,3.95,3.56,DMK,Margin,Nota,183,52
28,Karur,441,3595,2.64,3.56,AIADMK,Margin,Nota,188,54
29,Chengalpattu,26292,3584,4.42,3.55,DMK,Margin,Nota,193,56
30,Thiyagarayanagar,3155,3570,3.5,3.55,AIADMK,Margin,Nota,198,58
31,Kolathur,37730,3554,4.58,3.55,DMK,Margin,Nota,203,60
32,Saidapet,16255,3541,4.21,3.55,DMK,Margin,Nota,208,62
33,Avanashi (SC),30674,3534,4.49,3.55,AIADMK,Margin,Nota,213,64
34,Chepauk-Thiruvallikeni,14164,3494,4.15,3.54,DMK,Margin,Nota,218,66
35,Madurai North,18839,3479,4.28,3.54,AIADMK,Margin,Nota,223,68
36,Tiruppur (North),37774,3447,4.58,3.54,AIADMK,Margin,Nota,228,70
37,Hosur,22964,3445,4.36,3.54,AIADMK,Margin,Nota,233,72
38,Villivakkam,9321,3409,3.97,3.53,DMK,Margin,Nota,238,74
39,Mettuppalayam,16114,3408,4.21,3.53,AIADMK,Margin,Nota,243,76
40,Erode (West),4906,3403,3.69,3.53,AIADMK,Margin,Nota,248,78
41,Tenkasi,462,3391,2.66,3.53,AIADMK,Margin,Nota,253,80
42,Manapparai,18277,3364,4.26,3.53,AIADMK,Margin,Nota,258,82
43,Coimbatore (South),17419,3331,4.24,3.52,AIADMK,Margin,Nota,263,84
44,Udumalaipettai,5687,3306,3.75,3.52,AIADMK,Margin,Nota,268,86
45,Poonamallee,11763,3265,4.07,3.51,AIADMK,Margin,Nota,273,88
46,Thondamuthur,64041,3248,4.81,3.51,AIADMK,Margin,Nota,278,90
47,Madurai East,32772,3246,4.52,3.51,DMK,Margin,Nota,283,92
48,Thoothukkudi,20908,3177,4.32,3.5,DMK,Margin,Nota,288,94
49,Perambur,519,3167,2.72,3.5,AIADMK,Margin,Nota,293,96
50,Kangayam,13135,3141,4.12,3.5,AIADMK,Margin,Nota,298,98
51,Yercaud,17394,3136,4.24,3.5,AIADMK,Margin,Nota,303,100
52,Thiruparankundram,22992,3111,4.36,3.49,AIADMK,Margin,Nota,308,102
53,Salem (West),7247,3107,3.86,3.49,AIADMK,Margin,Nota,313,104
