CONUM,CONAME,PMK,MARGIN,LOG(PMK),LOG(MAR),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,FLAG
1,Pappireddippatti,61521,12713,4.789023386,4.104248047,AIADMK,Margin,PMK,53,0,0
2,Pennagaram,58402,18446,4.76642772,4.265902204,DMK,Margin,PMK,58,2,0
3,Dharmapuri,56727,9676,4.753789817,3.98569586,DMK,Margin,PMK,63,4,0
4,Edappadi,56681,42022,4.753437504,4.623476718,AIADMK,Margin,PMK,68,6,0
5,Jayankondam,52738,22934,4.722123656,4.360479808,AIADMK,Margin,PMK,73,8,0
6,Sholingur,50827,9732,4.706094477,3.9882021,AIADMK,Margin,PMK,78,10,0
7,Mettur,49939,6282,4.698439842,3.798097932,AIADMK,Margin,PMK,83,12,0
8,Omalur,48721,19956,4.687716194,4.300073495,AIADMK,Margin,PMK,88,14,0
9,Gummidipoondi,43055,23395,4.634023594,4.36912305,AIADMK,Margin,PMK,93,16,0
10,Vikravandi,41428,6912,4.617293968,3.839603729,DMK,Margin,PMK,98,18,0
11,Sankari,37927,37374,4.578948492,4.572569581,AIADMK,Margin,PMK,103,20,0
12,Cheyyar,37491,8527,4.573927025,3.930796263,AIADMK,Margin,PMK,108,22,0
13,Kunnam,37271,18796,4.571371045,4.274065436,AIADMK,Margin,PMK,113,24,0
14,Villupuram,36456,22291,4.561769016,4.348129552,AIADMK,Margin,PMK,118,26,0
15,Arcot,35043,11091,4.544601279,4.044970705,DMK,Margin,PMK,123,28,0
16,Bhuvanagiri,33681,5488,4.527384977,3.739414103,DMK,Margin,PMK,128,30,0
17,Thiruvallur,31935,5138,4.50426692,3.7107941,DMK,Margin,PMK,133,32,0
18,Palacode,31612,5983,4.499851973,3.776919003,AIADMK,Margin,PMK,138,34,0
19,Kancheepuram,30102,7548,4.478595351,3.877831891,DMK,Margin,PMK,143,36,0
20,Salem (West),29982,7247,4.4768606,3.860158261,AIADMK,Margin,PMK,148,38,0
21,Tindivanam,29848,101,4.474915236,2.004321374,DMK,Margin,PMK,153,40,0
