CONUM,CONAME,MARGIN,3F,LOG(MAR),LOG(3F),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,FLAG
1,Thalli,6245,68184,3.795532443,4.833682475,DMK,Margin,ThirdFront,53,0,0
2,Kattumannarkoil(SC),87,48363,1.939519253,4.684513233,AIADMK,Margin,ThirdFront,58,2,0
3,Ulundurpettai,4164,34447,3.619510721,4.537151405,AIADMK,Margin,ThirdFront,63,4,0
4,Bhuvanagiri,5488,33662,3.739414103,4.527139916,DMK,Margin,ThirdFront,68,6,0
5,Harur,11421,33632,4.057704132,4.526752694,AIADMK,Margin,ThirdFront,73,8,0
6,Thiruthuraipoondi,13250,33038,4.122215878,4.519013749,DMK,Margin,ThirdFront,78,10,0
7,Kovilpatti,428,28512,2.631443769,4.455027682,AIADMK,Margin,ThirdFront,83,12,0
8,Bhavanisagar,13104,27965,4.117403884,4.446614824,AIADMK,Margin,ThirdFront,88,14,0
9,Manapparai,18277,26316,4.261904912,4.420219878,AIADMK,Margin,ThirdFront,93,16,0
10,Vilavancode,33143,25821,4.520391817,4.411973058,INC,Margin,ThirdFront,98,18,0
11,Thiruporur,950,25539,2.977723605,4.407203888,AIADMK,Margin,ThirdFront,103,20,0
12,Sattur,4427,25442,3.646109522,4.405551248,AIADMK,Margin,ThirdFront,108,22,0
13,Villupuram,22291,24907,4.348129552,4.396321421,AIADMK,Margin,ThirdFront,113,24,0
14,Vanur,10223,23873,4.009578361,4.377906998,AIADMK,Margin,ThirdFront,118,26,0
15,Chidambaram,1506,23314,3.177824972,4.367616792,AIADMK,Margin,ThirdFront,123,28,0
16,Avadi,1395,22848,3.144574208,4.35884819,AIADMK,Margin,ThirdFront,128,30,0
17,Jayankondam,22934,21405,4.360479808,4.330515232,AIADMK,Margin,ThirdFront,133,32,0
18,Vaniyambadi,14526,21090,4.16214604,4.32407658,AIADMK,Margin,ThirdFront,138,34,0
19,Kurinjipadi,28108,21063,4.448829945,4.323520228,DMK,Margin,ThirdFront,143,36,0
20,Sankarankovil,14489,20807,4.161038412,4.318209467,AIADMK,Margin,ThirdFront,148,38,0
21,Cuddalore,24413,20608,4.387621151,4.314035846,AIADMK,Margin,ThirdFront,153,40,0
22,Thirumangalam,23590,20589,4.372727941,4.313635254,AIADMK,Margin,ThirdFront,158,42,0
23,Tiruppur (North),37774,20061,4.577192976,4.302352578,AIADMK,Margin,ThirdFront,163,44,0
24,Madurai West,16398,19991,4.214790882,4.300834519,AIADMK,Margin,ThirdFront,168,46,0
25,Kunnam,18796,19853,4.274065436,4.297826143,AIADMK,Margin,ThirdFront,173,48,0
26,Maduravoyal,8402,19612,3.924382677,4.292521885,AIADMK,Margin,ThirdFront,178,50,0
27,Madurai South,23763,19443,4.375901268,4.288763276,AIADMK,Margin,ThirdFront,183,52,0
28,Srivilliputhur,36673,19415,4.564346438,4.288137395,AIADMK,Margin,ThirdFront,188,54,0
29,Papanasam,24365,18599,4.386766416,4.269489594,AIADMK,Margin,ThirdFront,193,56,0
30,Vridhachalam,13777,18563,4.139154658,4.268648165,AIADMK,Margin,ThirdFront,198,58,0
31,Panruti,3128,18409,3.495266744,4.265030198,AIADMK,Margin,ThirdFront,203,60,0
32,Cheyyur,304,17927,2.482873584,4.253507618,DMK,Margin,ThirdFront,208,62,0
33,Thoothukkudi,20908,17798,4.320312491,4.250371202,DMK,Margin,ThirdFront,213,64,0
34,Madurai North,18839,17732,4.275057846,4.248757723,AIADMK,Margin,ThirdFront,218,66,0
35,Kallakurichi,4104,17492,3.613207352,4.242839469,AIADMK,Margin,ThirdFront,223,68,0
36,Chengalpattu,26292,17438,4.419823624,4.241496673,DMK,Margin,ThirdFront,228,70,0
37,Sivakasi,14748,17379,4.168733129,4.240024783,AIADMK,Margin,ThirdFront,233,72,0
38,Kavundampalayam,8025,16874,3.904445041,4.227218045,AIADMK,Margin,ThirdFront,238,74,0
39,Ambattur,17498,16631,4.242988412,4.220918364,AIADMK,Margin,ThirdFront,243,76,0
40,Kilvelur,10170,16499,4.007320953,4.217457623,DMK,Margin,ThirdFront,248,78,0
41,Ramanathapuram,33222,16353,4.521425774,4.213597437,AIADMK,Margin,ThirdFront,253,80,0
42,Kadayanallur,1194,15858,3.077004327,4.200248414,IUML,Margin,ThirdFront,258,82,0
43,Tiruttani,23141,15648,4.364382122,4.194458837,AIADMK,Margin,ThirdFront,263,84,0
44,Thiruparankundram,22992,15275,4.361576751,4.183981219,AIADMK,Margin,ThirdFront,268,86,0
45,Shozhinganallur,14913,15129,4.173565018,4.179810223,DMK,Margin,ThirdFront,273,88,0
46,Sivaganga,6636,15114,3.821906377,4.179379418,AIADMK,Margin,ThirdFront,278,90,0
47,Poonamallee,11763,15051,4.070518097,4.177565356,AIADMK,Margin,ThirdFront,283,92,0
48,Tirukkoyilur,41057,15045,4.613387213,4.177392192,DMK,Margin,ThirdFront,288,94,0
49,Vilathikulam,18718,15030,4.272259443,4.176958981,AIADMK,Margin,ThirdFront,293,96,0
50,Avanashi (SC),30674,15016,4.486770413,4.17655426,AIADMK,Margin,ThirdFront,298,98,0
51,Tindivanam,101,14928,2.004321374,4.174001626,DMK,Margin,ThirdFront,303,100,0
52,Palladam,32174,14841,4.507505057,4.171463165,AIADMK,Margin,ThirdFront,308,102,0
53,Poompuhar,19935,14806,4.29961624,4.170437745,AIADMK,Margin,ThirdFront,313,104,0
54,Tittagudi (SC),2212,14657,3.344785123,4.166045088,DMK,Margin,ThirdFront,318,106,0
55,Tambaram,14445,14559,4.159717546,4.163131546,DMK,Margin,ThirdFront,323,108,0
56,Karaikudi,18283,14279,4.262047459,4.154697794,INC,Margin,ThirdFront,328,110,0
57,Rishivandiyam,20503,14239,4.311817412,4.15347949,DMK,Margin,ThirdFront,333,112,0
58,Ottapidaram,493,14127,2.692846919,4.150049945,AIADMK,Margin,ThirdFront,338,114,0
59,Pallavaram,22165,14083,4.345667736,4.148695179,DMK,Margin,ThirdFront,343,116,0
60,Gandharvakottai,3047,13918,3.483872454,4.143576832,AIADMK,Margin,ThirdFront,348,118,0
61,Vasudevanallur,18758,13735,4.273186532,4.137828664,AIADMK,Margin,ThirdFront,353,120,0
62,Killiyoor,46295,13704,4.665534088,4.13684735,INC,Margin,ThirdFront,358,122,0
63,Ambasamudram,13166,13690,4.119453851,4.136403448,AIADMK,Margin,ThirdFront,363,124,0
64,Sriperumbudur,10716,13679,4.030032705,4.13605435,AIADMK,Margin,ThirdFront,368,126,0
65,Ariyalur,2043,13599,3.310268367,4.133506974,AIADMK,Margin,ThirdFront,373,128,0
66,Tiruppur (South),15933,13597,4.202297556,4.133443098,AIADMK,Margin,ThirdFront,378,130,0
67,Periyakulam,14350,13525,4.156851901,4.131137274,AIADMK,Margin,ThirdFront,383,132,0
68,Thiruvottiyur,4863,13463,3.68690427,4.129141846,DMK,Margin,ThirdFront,388,134,0
69,Sankarapuram,14528,13343,4.162205831,4.125253486,DMK,Margin,ThirdFront,393,136,0
70,Mettuppalayam,16114,13324,4.207203359,4.124634624,AIADMK,Margin,ThirdFront,398,138,0
71,Padmanabhapuram,40905,13185,4.611776397,4.120080134,DMK,Margin,ThirdFront,403,140,0
72,Thiruvarur,68366,13158,4.834840171,4.119189882,DMK,Margin,ThirdFront,408,142,0
73,Thiruverumbur,16695,13155,4.222586423,4.119090852,DMK,Margin,ThirdFront,413,144,0
74,Sulur,36631,13106,4.563848775,4.117470164,AIADMK,Margin,ThirdFront,418,146,0
